scenario,family,seed,judge,model,y_true,y_pred,score,correct,latency,error,note
no_change_001,no_change,20260621,ai:summary,qwen-llm,PASS,PASS,95.0,1,5.29,,
no_change_001,no_change,20260621,ai:raw,qwen-llm,PASS,FAIL,45.0,0,2.83,,
no_change_001,no_change,20260621,hybrid:gated,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_001,no_change,20260621,hybrid:or,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_001,no_change,20260621,hybrid:and,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_001,no_change,20260621,ai:summary,phi4-llm,PASS,PASS,95.0,1,10.11,,
no_change_001,no_change,20260621,ai:raw,phi4-llm,PASS,PASS,75.0,1,5.95,,
no_change_001,no_change,20260621,hybrid:gated,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_001,no_change,20260621,hybrid:or,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_001,no_change,20260621,hybrid:and,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_001,no_change,20260621,ai:summary,olmo2-llm,PASS,FAIL,20.0,0,5.62,,
no_change_001,no_change,20260621,ai:raw,olmo2-llm,PASS,FAIL,45.0,0,3.3,,
no_change_001,no_change,20260621,hybrid:gated,olmo2-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
no_change_001,no_change,20260621,hybrid:or,olmo2-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
no_change_001,no_change,20260621,hybrid:and,olmo2-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Fail;statistical
no_change_001,no_change,20260621,ai:summary,mistral-nemo-llm,PASS,PASS,75.0,1,13.14,,
no_change_001,no_change,20260621,ai:raw,mistral-nemo-llm,PASS,PASS,75.0,1,4.8,,
no_change_001,no_change,20260621,hybrid:gated,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_001,no_change,20260621,hybrid:or,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_001,no_change,20260621,hybrid:and,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_001,no_change,20260621,ai:summary,deepseek-r1-llm,PASS,FAIL,20.0,0,17.92,,
no_change_001,no_change,20260621,ai:raw,deepseek-r1-llm,PASS,FAIL,65.0,0,28.56,,
no_change_001,no_change,20260621,hybrid:gated,deepseek-r1-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
no_change_001,no_change,20260621,hybrid:or,deepseek-r1-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
no_change_001,no_change,20260621,hybrid:and,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Fail;statistical
no_change_001,no_change,20260621,ai:plot,moondream-vlm,PASS,PASS,100.0,1,2.51,,
no_change_001,no_change,20260621,hybrid:gated,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_001,no_change,20260621,hybrid:or,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;both
no_change_001,no_change,20260621,hybrid:and,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_001,no_change,20260621,ai:plot,granite-vision-vlm,PASS,FAIL,50.0,0,6.45,,
no_change_001,no_change,20260621,hybrid:gated,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_001,no_change,20260621,hybrid:or,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;both
no_change_001,no_change,20260621,hybrid:and,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_001,no_change,20260621,ai:plot,minicpm-v-vlm,PASS,PASS,95.0,1,7.66,,
no_change_001,no_change,20260621,hybrid:gated,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_001,no_change,20260621,hybrid:or,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;both
no_change_001,no_change,20260621,hybrid:and,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_002,no_change,20260621,statistical,-,PASS,PASS,100.0,1,0.04,,
no_change_002,no_change,20260621,ai:summary,qwen-llm,PASS,PASS,95.0,1,5.37,,
no_change_002,no_change,20260621,ai:raw,qwen-llm,PASS,FAIL,45.0,0,2.88,,
no_change_002,no_change,20260621,hybrid:gated,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_002,no_change,20260621,hybrid:or,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_002,no_change,20260621,hybrid:and,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_002,no_change,20260621,ai:summary,phi4-llm,PASS,PASS,75.0,1,9.86,,
no_change_002,no_change,20260621,ai:raw,phi4-llm,PASS,PASS,75.0,1,6.64,,
no_change_002,no_change,20260621,hybrid:gated,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_002,no_change,20260621,hybrid:or,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_002,no_change,20260621,hybrid:and,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_002,no_change,20260621,ai:summary,olmo2-llm,PASS,FAIL,20.0,0,5.42,,
no_change_002,no_change,20260621,ai:raw,olmo2-llm,PASS,FAIL,45.0,0,3.14,,
no_change_002,no_change,20260621,hybrid:gated,olmo2-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
no_change_002,no_change,20260621,hybrid:or,olmo2-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
no_change_002,no_change,20260621,hybrid:and,olmo2-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Fail;statistical
no_change_002,no_change,20260621,ai:summary,mistral-nemo-llm,PASS,PASS,75.0,1,12.78,,
no_change_002,no_change,20260621,ai:raw,mistral-nemo-llm,PASS,PASS,75.0,1,5.15,,
no_change_002,no_change,20260621,hybrid:gated,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_002,no_change,20260621,hybrid:or,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_002,no_change,20260621,hybrid:and,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_002,no_change,20260621,ai:summary,deepseek-r1-llm,PASS,FAIL,65.0,0,19.57,,
no_change_002,no_change,20260621,ai:raw,deepseek-r1-llm,PASS,FAIL,65.0,0,29.82,,
no_change_002,no_change,20260621,hybrid:gated,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical
no_change_002,no_change,20260621,hybrid:or,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Marginal;both
no_change_002,no_change,20260621,hybrid:and,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical
no_change_002,no_change,20260621,ai:plot,moondream-vlm,PASS,PASS,100.0,1,2.83,,
no_change_002,no_change,20260621,hybrid:gated,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_002,no_change,20260621,hybrid:or,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;both
no_change_002,no_change,20260621,hybrid:and,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_002,no_change,20260621,ai:plot,granite-vision-vlm,PASS,PASS,75.0,1,6.6,,
no_change_002,no_change,20260621,hybrid:gated,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_002,no_change,20260621,hybrid:or,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;both
no_change_002,no_change,20260621,hybrid:and,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_002,no_change,20260621,ai:plot,minicpm-v-vlm,PASS,PASS,95.0,1,7.64,,
no_change_002,no_change,20260621,hybrid:gated,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_002,no_change,20260621,hybrid:or,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;both
no_change_002,no_change,20260621,hybrid:and,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_003,no_change,20260621,statistical,-,PASS,PASS,100.0,1,0.04,,
no_change_003,no_change,20260621,ai:summary,qwen-llm,PASS,PASS,95.0,1,5.23,,
no_change_003,no_change,20260621,ai:raw,qwen-llm,PASS,FAIL,45.0,0,3.15,,
no_change_003,no_change,20260621,hybrid:gated,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_003,no_change,20260621,hybrid:or,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_003,no_change,20260621,hybrid:and,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_003,no_change,20260621,ai:summary,phi4-llm,PASS,PASS,75.0,1,10.48,,
no_change_003,no_change,20260621,ai:raw,phi4-llm,PASS,FAIL,65.0,0,6.39,,
no_change_003,no_change,20260621,hybrid:gated,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_003,no_change,20260621,hybrid:or,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_003,no_change,20260621,hybrid:and,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_003,no_change,20260621,ai:summary,olmo2-llm,PASS,FAIL,20.0,0,5.14,,
no_change_003,no_change,20260621,ai:raw,olmo2-llm,PASS,FAIL,45.0,0,3.18,,
no_change_003,no_change,20260621,hybrid:gated,olmo2-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
no_change_003,no_change,20260621,hybrid:or,olmo2-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
no_change_003,no_change,20260621,hybrid:and,olmo2-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Fail;statistical
no_change_003,no_change,20260621,ai:summary,mistral-nemo-llm,PASS,PASS,75.0,1,12.89,,
no_change_003,no_change,20260621,ai:raw,mistral-nemo-llm,PASS,PASS,75.0,1,5.09,,
no_change_003,no_change,20260621,hybrid:gated,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_003,no_change,20260621,hybrid:or,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_003,no_change,20260621,hybrid:and,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_003,no_change,20260621,ai:summary,deepseek-r1-llm,PASS,FAIL,65.0,0,19.35,,
no_change_003,no_change,20260621,ai:raw,deepseek-r1-llm,PASS,PASS,95.0,1,10.64,,
no_change_003,no_change,20260621,hybrid:gated,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical
no_change_003,no_change,20260621,hybrid:or,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Marginal;both
no_change_003,no_change,20260621,hybrid:and,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical
no_change_003,no_change,20260621,ai:plot,moondream-vlm,PASS,PASS,100.0,1,2.48,,
no_change_003,no_change,20260621,hybrid:gated,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_003,no_change,20260621,hybrid:or,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;both
no_change_003,no_change,20260621,hybrid:and,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_003,no_change,20260621,ai:plot,granite-vision-vlm,PASS,FAIL,50.0,0,6.47,,
no_change_003,no_change,20260621,hybrid:gated,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_003,no_change,20260621,hybrid:or,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;both
no_change_003,no_change,20260621,hybrid:and,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_003,no_change,20260621,ai:plot,minicpm-v-vlm,PASS,PASS,95.0,1,7.66,,
no_change_003,no_change,20260621,hybrid:gated,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_003,no_change,20260621,hybrid:or,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;both
no_change_003,no_change,20260621,hybrid:and,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_004,no_change,20260621,statistical,-,PASS,PASS,100.0,1,0.03,,
no_change_004,no_change,20260621,ai:summary,qwen-llm,PASS,PASS,95.0,1,5.34,,
no_change_004,no_change,20260621,ai:raw,qwen-llm,PASS,PASS,75.0,1,2.88,,
no_change_004,no_change,20260621,hybrid:gated,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_004,no_change,20260621,hybrid:or,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_004,no_change,20260621,hybrid:and,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_004,no_change,20260621,ai:summary,phi4-llm,PASS,PASS,95.0,1,9.71,,
no_change_004,no_change,20260621,ai:raw,phi4-llm,PASS,FAIL,65.0,0,6.22,,
no_change_004,no_change,20260621,hybrid:gated,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_004,no_change,20260621,hybrid:or,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_004,no_change,20260621,hybrid:and,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_004,no_change,20260621,ai:summary,olmo2-llm,PASS,FAIL,10.0,0,5.14,,
no_change_004,no_change,20260621,ai:raw,olmo2-llm,PASS,FAIL,45.0,0,3.12,,
no_change_004,no_change,20260621,hybrid:gated,olmo2-llm,PASS,FAIL,10.0,0,0.0,,ai=summary/Fail;ai
no_change_004,no_change,20260621,hybrid:or,olmo2-llm,PASS,FAIL,10.0,0,0.0,,ai=summary/Fail;ai
no_change_004,no_change,20260621,hybrid:and,olmo2-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Fail;statistical
no_change_004,no_change,20260621,ai:summary,mistral-nemo-llm,PASS,PASS,75.0,1,12.34,,
no_change_004,no_change,20260621,ai:raw,mistral-nemo-llm,PASS,PASS,75.0,1,4.81,,
no_change_004,no_change,20260621,hybrid:gated,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_004,no_change,20260621,hybrid:or,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_004,no_change,20260621,hybrid:and,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_004,no_change,20260621,ai:summary,deepseek-r1-llm,PASS,PASS,95.0,1,31.25,,
no_change_004,no_change,20260621,ai:raw,deepseek-r1-llm,PASS,FAIL,65.0,0,8.11,,
no_change_004,no_change,20260621,hybrid:gated,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_004,no_change,20260621,hybrid:or,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_004,no_change,20260621,hybrid:and,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_004,no_change,20260621,ai:plot,moondream-vlm,PASS,FAIL,70.0,0,2.48,,
no_change_004,no_change,20260621,hybrid:gated,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_004,no_change,20260621,hybrid:or,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;both
no_change_004,no_change,20260621,hybrid:and,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_004,no_change,20260621,ai:plot,granite-vision-vlm,PASS,FAIL,50.0,0,6.87,,
no_change_004,no_change,20260621,hybrid:gated,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_004,no_change,20260621,hybrid:or,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;both
no_change_004,no_change,20260621,hybrid:and,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_004,no_change,20260621,ai:plot,minicpm-v-vlm,PASS,PASS,85.0,1,7.56,,
no_change_004,no_change,20260621,hybrid:gated,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_004,no_change,20260621,hybrid:or,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;both
no_change_004,no_change,20260621,hybrid:and,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
noise_equivalent_000,noise_equivalent,20260621,statistical,-,PASS,PASS,100.0,1,0.03,,
noise_equivalent_000,noise_equivalent,20260621,ai:summary,qwen-llm,PASS,FAIL,35.0,0,5.24,,
noise_equivalent_000,noise_equivalent,20260621,ai:raw,qwen-llm,PASS,FAIL,45.0,0,2.87,,
noise_equivalent_000,noise_equivalent,20260621,hybrid:gated,qwen-llm,PASS,FAIL,35.0,0,0.0,,ai=summary/Fail;ai
noise_equivalent_000,noise_equivalent,20260621,hybrid:or,qwen-llm,PASS,FAIL,35.0,0,0.0,,ai=summary/Fail;ai
noise_equivalent_000,noise_equivalent,20260621,hybrid:and,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Fail;statistical
noise_equivalent_000,noise_equivalent,20260621,ai:summary,phi4-llm,PASS,FAIL,65.0,0,9.98,,
noise_equivalent_000,noise_equivalent,20260621,ai:raw,phi4-llm,PASS,FAIL,65.0,0,6.13,,
noise_equivalent_000,noise_equivalent,20260621,hybrid:gated,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical
noise_equivalent_000,noise_equivalent,20260621,hybrid:or,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Marginal;both
noise_equivalent_000,noise_equivalent,20260621,hybrid:and,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical
noise_equivalent_000,noise_equivalent,20260621,ai:summary,olmo2-llm,PASS,FAIL,20.0,0,5.17,,
noise_equivalent_000,noise_equivalent,20260621,ai:raw,olmo2-llm,PASS,FAIL,45.0,0,3.14,,
noise_equivalent_000,noise_equivalent,20260621,hybrid:gated,olmo2-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
noise_equivalent_000,noise_equivalent,20260621,hybrid:or,olmo2-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
noise_equivalent_000,noise_equivalent,20260621,hybrid:and,olmo2-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Fail;statistical
noise_equivalent_000,noise_equivalent,20260621,ai:summary,mistral-nemo-llm,PASS,FAIL,45.0,0,11.99,,
noise_equivalent_000,noise_equivalent,20260621,ai:raw,mistral-nemo-llm,PASS,PASS,75.0,1,4.67,,
noise_equivalent_000,noise_equivalent,20260621,hybrid:gated,mistral-nemo-llm,PASS,FAIL,45.0,0,0.0,,ai=summary/Fail;ai
noise_equivalent_000,noise_equivalent,20260621,hybrid:or,mistral-nemo-llm,PASS,FAIL,45.0,0,0.0,,ai=summary/Fail;ai
noise_equivalent_000,noise_equivalent,20260621,hybrid:and,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Fail;statistical
noise_equivalent_000,noise_equivalent,20260621,ai:summary,deepseek-r1-llm,PASS,FAIL,25.0,0,18.07,,
noise_equivalent_000,noise_equivalent,20260621,ai:raw,deepseek-r1-llm,PASS,FAIL,25.0,0,10.12,,
noise_equivalent_000,noise_equivalent,20260621,hybrid:gated,deepseek-r1-llm,PASS,FAIL,25.0,0,0.0,,ai=summary/Fail;ai
noise_equivalent_000,noise_equivalent,20260621,hybrid:or,deepseek-r1-llm,PASS,FAIL,25.0,0,0.0,,ai=summary/Fail;ai
noise_equivalent_000,noise_equivalent,20260621,hybrid:and,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Fail;statistical
noise_equivalent_000,noise_equivalent,20260621,ai:plot,moondream-vlm,PASS,PASS,100.0,1,2.54,,
noise_equivalent_000,noise_equivalent,20260621,hybrid:gated,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
noise_equivalent_000,noise_equivalent,20260621,hybrid:or,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;both
noise_equivalent_000,noise_equivalent,20260621,hybrid:and,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
noise_equivalent_000,noise_equivalent,20260621,ai:plot,granite-vision-vlm,PASS,FAIL,50.0,0,6.81,,
noise_equivalent_000,noise_equivalent,20260621,hybrid:gated,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
noise_equivalent_000,noise_equivalent,20260621,hybrid:or,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;both
noise_equivalent_000,noise_equivalent,20260621,hybrid:and,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
noise_equivalent_000,noise_equivalent,20260621,ai:plot,minicpm-v-vlm,PASS,FAIL,50.0,0,7.88,,
noise_equivalent_000,noise_equivalent,20260621,hybrid:gated,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
noise_equivalent_000,noise_equivalent,20260621,hybrid:or,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;both
noise_equivalent_000,noise_equivalent,20260621,hybrid:and,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
noise_equivalent_001,noise_equivalent,20260621,statistical,-,PASS,PASS,100.0,1,0.04,,
noise_equivalent_001,noise_equivalent,20260621,ai:summary,qwen-llm,PASS,PASS,95.0,1,5.3,,
noise_equivalent_001,noise_equivalent,20260621,ai:raw,qwen-llm,PASS,FAIL,45.0,0,2.81,,
noise_equivalent_001,noise_equivalent,20260621,hybrid:gated,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
noise_equivalent_001,noise_equivalent,20260621,hybrid:or,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
noise_equivalent_001,noise_equivalent,20260621,hybrid:and,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
noise_equivalent_001,noise_equivalent,20260621,ai:summary,phi4-llm,PASS,PASS,75.0,1,10.04,,
