scenario,family,truth,judge,kind,rep_or_policy,model,verdict,score,correct,latency,error,note,rationale
no_change_000,no_change,PASS,ai:raw,ai,raw,deepseek-r1-llm,PASS,95.0,1,27.77,,,"The canary's metrics are comparable to the control, showing minimal spread and no emerging trends."
no_change_000,no_change,PASS,hybrid:gated,hybrid,gated,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_000,no_change,PASS,hybrid:or,hybrid,or,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_000,no_change,PASS,hybrid:and,hybrid,and,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_000,no_change,PASS,ai:plot,ai,plot,moondream-vlm,FAIL,70.0,0,2.5,,,<= 60 words
no_change_000,no_change,PASS,hybrid:gated,hybrid,gated,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_000,no_change,PASS,hybrid:or,hybrid,or,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
no_change_000,no_change,PASS,hybrid:and,hybrid,and,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_000,no_change,PASS,ai:plot,ai,plot,granite-vision-vlm,FAIL,50.0,0,6.93,,,"The canary shows a marginal improvement over the control, with a lower median and less spread in the data. However, there is still room for improvement as the p90/p95/p99/max values are higher than th"
no_change_000,no_change,PASS,hybrid:gated,hybrid,gated,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_000,no_change,PASS,hybrid:or,hybrid,or,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
no_change_000,no_change,PASS,hybrid:and,hybrid,and,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_000,no_change,PASS,ai:plot,ai,plot,minicpm-v-vlm,PASS,85.0,1,7.36,,,The overall score of 85 indicates that the canary performs comparably to the control with minor improvements. The metrics show stability without significant changes in error/latency/resource performan
no_change_000,no_change,PASS,hybrid:gated,hybrid,gated,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_000,no_change,PASS,hybrid:or,hybrid,or,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_000,no_change,PASS,hybrid:and,hybrid,and,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_001,no_change,PASS,statistical,statistical,,-,PASS,100.0,1,0.03,,,
no_change_001,no_change,PASS,ai:summary,ai,summary,qwen-llm,PASS,95.0,1,4.97,,,Slight increase in max duration but overall similar performance.
no_change_001,no_change,PASS,ai:raw,ai,raw,qwen-llm,FAIL,45.0,0,2.82,,,"Canary shows higher variance and longer tail, indicating instability."
no_change_001,no_change,PASS,hybrid:gated,hybrid,gated,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_001,no_change,PASS,hybrid:or,hybrid,or,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_001,no_change,PASS,hybrid:and,hybrid,and,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_001,no_change,PASS,ai:summary,ai,summary,phi4-llm,PASS,95.0,1,9.83,,,"The canary shows a minor increase in standard deviation and maximum value compared to control. However, these changes are not substantial enough to indicate instability or degradation. The slight down"
no_change_001,no_change,PASS,ai:raw,ai,raw,phi4-llm,PASS,75.0,1,6.11,,,"The canary shows a slightly increased spread and higher tail latencies compared to the control, indicating potential instability. Median values are similar, but the variability suggests caution."
no_change_001,no_change,PASS,hybrid:gated,hybrid,gated,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_001,no_change,PASS,hybrid:or,hybrid,or,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_001,no_change,PASS,hybrid:and,hybrid,and,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_001,no_change,PASS,ai:summary,ai,summary,olmo2-llm,FAIL,20.0,0,5.62,,,"Increased variance, higher p95, and a slight upward trend in latency suggest the canary is unstable compared to the control."
no_change_001,no_change,PASS,ai:raw,ai,raw,olmo2-llm,FAIL,45.0,0,3.29,,,"Higher variance and p95 value in the canary suggest instability compared to the stable control, leading to a fail verdict."
no_change_001,no_change,PASS,hybrid:gated,hybrid,gated,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
no_change_001,no_change,PASS,hybrid:or,hybrid,or,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
no_change_001,no_change,PASS,hybrid:and,hybrid,and,olmo2-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
no_change_001,no_change,PASS,ai:summary,ai,summary,mistral-nemo-llm,PASS,75.0,1,11.51,,,"Canary shows higher latency at high percentiles and a slight upward trend, but mean is comparable."
no_change_001,no_change,PASS,ai:raw,ai,raw,mistral-nemo-llm,PASS,75.0,1,4.62,,,"Canary has higher max value (0.2175 vs 0.2084) and more outliers, indicating potential instability."
no_change_001,no_change,PASS,hybrid:gated,hybrid,gated,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_001,no_change,PASS,hybrid:or,hybrid,or,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_001,no_change,PASS,hybrid:and,hybrid,and,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_001,no_change,PASS,ai:summary,ai,summary,deepseek-r1-llm,FAIL,20.0,0,17.79,,,"The canary shows increased upper quantiles and a negative trend, indicating higher variability and instability."
no_change_001,no_change,PASS,ai:raw,ai,raw,deepseek-r1-llm,FAIL,65.0,0,28.48,,,"The canary shows higher variability and worse tail metrics than the control, indicating instability."
no_change_001,no_change,PASS,hybrid:gated,hybrid,gated,deepseek-r1-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
no_change_001,no_change,PASS,hybrid:or,hybrid,or,deepseek-r1-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
no_change_001,no_change,PASS,hybrid:and,hybrid,and,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
no_change_001,no_change,PASS,ai:plot,ai,plot,moondream-vlm,PASS,100.0,1,2.5,,,<= 60 words
no_change_001,no_change,PASS,hybrid:gated,hybrid,gated,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_001,no_change,PASS,hybrid:or,hybrid,or,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_001,no_change,PASS,hybrid:and,hybrid,and,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_001,no_change,PASS,ai:plot,ai,plot,granite-vision-vlm,FAIL,50.0,0,6.39,,,"The canary has a lower median and less spread in the data compared to the control. However, it shows an upward trend over time, which is not ideal for a stable release. The median is slightly higher t"
no_change_001,no_change,PASS,hybrid:gated,hybrid,gated,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_001,no_change,PASS,hybrid:or,hybrid,or,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
no_change_001,no_change,PASS,hybrid:and,hybrid,and,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_001,no_change,PASS,ai:plot,ai,plot,minicpm-v-vlm,PASS,95.0,1,7.67,,,"The overall score of 95 indicates a healthy canary. The metrics show that while there are slight differences in the distribution (e.g., p90/p95/p99/max), these do not indicate significant instability "
no_change_001,no_change,PASS,hybrid:gated,hybrid,gated,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_001,no_change,PASS,hybrid:or,hybrid,or,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_001,no_change,PASS,hybrid:and,hybrid,and,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_002,no_change,PASS,statistical,statistical,,-,PASS,100.0,1,0.03,,,
no_change_002,no_change,PASS,ai:summary,ai,summary,qwen-llm,PASS,95.0,1,5.04,,,"Slight increase in variance and max, but overall performance remains stable and comparable."
no_change_002,no_change,PASS,ai:raw,ai,raw,qwen-llm,FAIL,45.0,0,2.83,,,"Canary shows increased variability and longer request durations, indicating instability."
no_change_002,no_change,PASS,hybrid:gated,hybrid,gated,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_002,no_change,PASS,hybrid:or,hybrid,or,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_002,no_change,PASS,hybrid:and,hybrid,and,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_002,no_change,PASS,ai:summary,ai,summary,phi4-llm,PASS,75.0,1,9.65,,,"The canary shows increased variance (stddev) and a slight upward trend (positive slope), indicating potential instability despite similar central tendency metrics. The p90, p95, and max are comparable"
no_change_002,no_change,PASS,ai:raw,ai,raw,phi4-llm,PASS,75.0,1,6.05,,,"The canary shows a slightly increased spread and worse tail metrics compared to the control, indicating potential instability. However, median values are comparable, leading to a marginal verdict."
no_change_002,no_change,PASS,hybrid:gated,hybrid,gated,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_002,no_change,PASS,hybrid:or,hybrid,or,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_002,no_change,PASS,hybrid:and,hybrid,and,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_002,no_change,PASS,ai:summary,ai,summary,olmo2-llm,FAIL,20.0,0,5.18,,,"The canary shows higher variance and a positive slope in http_request_duration_seconds_g0002, indicating instability compared to the control. This suggests potential issues that could affect performan"
no_change_002,no_change,PASS,ai:raw,ai,raw,olmo2-llm,FAIL,45.0,0,3.09,,,Higher variance and p95 value in canary suggest instability compared to stable control.
no_change_002,no_change,PASS,hybrid:gated,hybrid,gated,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
no_change_002,no_change,PASS,hybrid:or,hybrid,or,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
no_change_002,no_change,PASS,hybrid:and,hybrid,and,olmo2-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
no_change_002,no_change,PASS,ai:summary,ai,summary,mistral-nemo-llm,PASS,75.0,1,11.82,,,Canary shows increased latency at high percentiles and a slight upward trend.
no_change_002,no_change,PASS,ai:raw,ai,raw,mistral-nemo-llm,PASS,75.0,1,4.61,,,"Canary has higher max value (0.2158 vs 0.2145) and more spread, but median is similar."
no_change_002,no_change,PASS,hybrid:gated,hybrid,gated,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_002,no_change,PASS,hybrid:or,hybrid,or,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_002,no_change,PASS,hybrid:and,hybrid,and,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_002,no_change,PASS,ai:summary,ai,summary,deepseek-r1-llm,FAIL,65.0,0,18.5,,,Higher variance and a slight upward trend indicate instability.
no_change_002,no_change,PASS,ai:raw,ai,raw,deepseek-r1-llm,FAIL,65.0,0,28.43,,,"The canary shows a higher mean and increased variance, indicating potential instability."
no_change_002,no_change,PASS,hybrid:gated,hybrid,gated,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical,
no_change_002,no_change,PASS,hybrid:or,hybrid,or,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;both,
no_change_002,no_change,PASS,hybrid:and,hybrid,and,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical,
no_change_002,no_change,PASS,ai:plot,ai,plot,moondream-vlm,PASS,100.0,1,2.52,,,<= 60 words
no_change_002,no_change,PASS,hybrid:gated,hybrid,gated,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_002,no_change,PASS,hybrid:or,hybrid,or,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_002,no_change,PASS,hybrid:and,hybrid,and,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_002,no_change,PASS,ai:plot,ai,plot,granite-vision-vlm,PASS,75.0,1,6.52,,,"The canary shows a marginal improvement over the control, with a low spread in the median and a high p90 value. However, there is an emerging upward trend in the slope per sample, which could indicate"
no_change_002,no_change,PASS,hybrid:gated,hybrid,gated,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_002,no_change,PASS,hybrid:or,hybrid,or,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_002,no_change,PASS,hybrid:and,hybrid,and,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_002,no_change,PASS,ai:plot,ai,plot,minicpm-v-vlm,PASS,95.0,1,7.62,,,"The overall score of 95 indicates a healthy canary. The metrics show that while there are slight differences in some values compared to the baseline (control), these changes do not indicate significan"
no_change_002,no_change,PASS,hybrid:gated,hybrid,gated,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_002,no_change,PASS,hybrid:or,hybrid,or,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_002,no_change,PASS,hybrid:and,hybrid,and,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_003,no_change,PASS,statistical,statistical,,-,PASS,100.0,1,0.04,,,
no_change_003,no_change,PASS,ai:summary,ai,summary,qwen-llm,PASS,95.0,1,4.97,,,Slight increase in variance but overall similar performance. No significant tail degradation.
no_change_003,no_change,PASS,ai:raw,ai,raw,qwen-llm,FAIL,45.0,0,2.83,,,"Canary shows increased variability and higher max durations, indicating instability."
no_change_003,no_change,PASS,hybrid:gated,hybrid,gated,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_003,no_change,PASS,hybrid:or,hybrid,or,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_003,no_change,PASS,hybrid:and,hybrid,and,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_003,no_change,PASS,ai:summary,ai,summary,phi4-llm,PASS,75.0,1,10.08,,,"The canary shows a higher p99 (0.2137 vs 0.2101) and max (0.2147 vs 0.2104), indicating worse tail latencies compared to the control, which is concerning despite similar mean values."
no_change_003,no_change,PASS,ai:raw,ai,raw,phi4-llm,FAIL,65.0,0,5.93,,,"The canary shows a slightly increased spread and higher maximum values compared to the control, indicating potential instability. The median is similar, but the variability and tail metrics suggest ca"
no_change_003,no_change,PASS,hybrid:gated,hybrid,gated,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_003,no_change,PASS,hybrid:or,hybrid,or,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_003,no_change,PASS,hybrid:and,hybrid,and,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_003,no_change,PASS,ai:summary,ai,summary,olmo2-llm,FAIL,20.0,0,5.07,,,"The canary shows increased variability and worse tail metrics compared to the control, indicating potential instability and risk of future issues."
no_change_003,no_change,PASS,ai:raw,ai,raw,olmo2-llm,FAIL,45.0,0,3.14,,,Higher variance and p95 value in canary suggest instability compared to stable control metrics.
no_change_003,no_change,PASS,hybrid:gated,hybrid,gated,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
no_change_003,no_change,PASS,hybrid:or,hybrid,or,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
no_change_003,no_change,PASS,hybrid:and,hybrid,and,olmo2-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
no_change_003,no_change,PASS,ai:summary,ai,summary,mistral-nemo-llm,PASS,75.0,1,11.64,,,Canary shows slight degradation in request duration at high percentiles and a positive trend over time.
no_change_003,no_change,PASS,ai:raw,ai,raw,mistral-nemo-llm,PASS,75.0,1,4.62,,,"Canary has higher max value (0.2147 vs 0.2047) and more spread, but median is similar."
no_change_003,no_change,PASS,hybrid:gated,hybrid,gated,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_003,no_change,PASS,hybrid:or,hybrid,or,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_003,no_change,PASS,hybrid:and,hybrid,and,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_003,no_change,PASS,ai:summary,ai,summary,deepseek-r1-llm,FAIL,65.0,0,18.63,,,"The canary shows worse tail metrics (p99, max) despite some improvements in mean and median. Higher variability indicates instability."
no_change_003,no_change,PASS,ai:raw,ai,raw,deepseek-r1-llm,PASS,95.0,1,10.25,,,"The canary's metrics are similar to the control, showing only minor variations and no significant trend."
no_change_003,no_change,PASS,hybrid:gated,hybrid,gated,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical,
no_change_003,no_change,PASS,hybrid:or,hybrid,or,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;both,
no_change_003,no_change,PASS,hybrid:and,hybrid,and,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Marginal;statistical,
no_change_003,no_change,PASS,ai:plot,ai,plot,moondream-vlm,PASS,100.0,1,2.43,,,<= 60 words
no_change_003,no_change,PASS,hybrid:gated,hybrid,gated,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_003,no_change,PASS,hybrid:or,hybrid,or,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_003,no_change,PASS,hybrid:and,hybrid,and,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_003,no_change,PASS,ai:plot,ai,plot,granite-vision-vlm,FAIL,50.0,0,6.45,,,"The canary shows a lower median and less spread in the duration compared to the control. However, there is an emerging upward trend over time, which could be considered as a marginal issue. The overal"
no_change_003,no_change,PASS,hybrid:gated,hybrid,gated,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_003,no_change,PASS,hybrid:or,hybrid,or,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
no_change_003,no_change,PASS,hybrid:and,hybrid,and,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_003,no_change,PASS,ai:plot,ai,plot,minicpm-v-vlm,PASS,95.0,1,7.66,,,"The overall score of 95 indicates a healthy canary. The metrics show that while there are slight differences in duration compared to the baseline, they remain within reasonable bounds, with comparable"
no_change_003,no_change,PASS,hybrid:gated,hybrid,gated,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_003,no_change,PASS,hybrid:or,hybrid,or,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_003,no_change,PASS,hybrid:and,hybrid,and,minicpm-v-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_004,no_change,PASS,statistical,statistical,,-,PASS,100.0,1,0.03,,,
no_change_004,no_change,PASS,ai:summary,ai,summary,qwen-llm,PASS,95.0,1,5.01,,,Slight increase in variance but mean and median remain stable. No significant tail degradation or trend issues.
no_change_004,no_change,PASS,ai:raw,ai,raw,qwen-llm,PASS,75.0,1,2.87,,,"Canary shows increased variance and max request durations, indicating potential instability."
no_change_004,no_change,PASS,hybrid:gated,hybrid,gated,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_004,no_change,PASS,hybrid:or,hybrid,or,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_004,no_change,PASS,hybrid:and,hybrid,and,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_004,no_change,PASS,ai:summary,ai,summary,phi4-llm,PASS,95.0,1,9.39,,,"The canary shows improved latency (mean, median) with slightly better tail metrics. Variance is lower, indicating stability. No negative trends observed."
no_change_004,no_change,PASS,ai:raw,ai,raw,phi4-llm,FAIL,65.0,0,5.95,,,"The canary shows a slightly increased spread and higher maximum values compared to the control, indicating potential instability. However, median performance is comparable, leading to a marginal verdi"
no_change_004,no_change,PASS,hybrid:gated,hybrid,gated,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_004,no_change,PASS,hybrid:or,hybrid,or,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_004,no_change,PASS,hybrid:and,hybrid,and,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_004,no_change,PASS,ai:summary,ai,summary,olmo2-llm,FAIL,10.0,0,5.42,,,"The canary shows higher variance and a positive slope in http_request_duration_seconds_g0004, indicating instability compared to the control. This suggests potential issues that could affect performan"
no_change_004,no_change,PASS,ai:raw,ai,raw,olmo2-llm,FAIL,45.0,0,3.12,,,"Higher variance and p95 value suggest instability in the canary's performance, leading to a fail verdict."
no_change_004,no_change,PASS,hybrid:gated,hybrid,gated,olmo2-llm,FAIL,10.0,0,0.0,,ai=summary/Fail;ai,
no_change_004,no_change,PASS,hybrid:or,hybrid,or,olmo2-llm,FAIL,10.0,0,0.0,,ai=summary/Fail;ai,
no_change_004,no_change,PASS,hybrid:and,hybrid,and,olmo2-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
no_change_004,no_change,PASS,ai:summary,ai,summary,mistral-nemo-llm,PASS,75.0,1,11.18,,,Canary shows higher tail latencies and a slight upward trend in request duration.
no_change_004,no_change,PASS,ai:raw,ai,raw,mistral-nemo-llm,PASS,75.0,1,4.62,,,"Canary has higher max value (0.2211 vs 0.2134) and more spread, but median is similar."
no_change_004,no_change,PASS,hybrid:gated,hybrid,gated,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_004,no_change,PASS,hybrid:or,hybrid,or,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_004,no_change,PASS,hybrid:and,hybrid,and,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_004,no_change,PASS,ai:summary,ai,summary,deepseek-r1-llm,PASS,95.0,1,30.23,,,"The canary shows slight improvements across most metrics with a better mean and percentiles compared to control, while also having less variability. No significant negative trends are observed."
no_change_004,no_change,PASS,ai:raw,ai,raw,deepseek-r1-llm,FAIL,65.0,0,8.05,,,"The canary shows higher variance with some values exceeding the control's max, indicating instability."
no_change_004,no_change,PASS,hybrid:gated,hybrid,gated,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_004,no_change,PASS,hybrid:or,hybrid,or,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_004,no_change,PASS,hybrid:and,hybrid,and,deepseek-r1-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_004,no_change,PASS,ai:plot,ai,plot,moondream-vlm,FAIL,70.0,0,2.53,,,<= 60 words
no_change_004,no_change,PASS,hybrid:gated,hybrid,gated,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_004,no_change,PASS,hybrid:or,hybrid,or,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
no_change_004,no_change,PASS,hybrid:and,hybrid,and,moondream-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_004,no_change,PASS,ai:plot,ai,plot,granite-vision-vlm,FAIL,50.0,0,6.8,,,"The canary shows a marginal improvement over the control in terms of HTTP request duration. The median and p90 values are similar, but the p95 value is higher for the canary, indicating some variabili"
no_change_004,no_change,PASS,hybrid:gated,hybrid,gated,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
no_change_004,no_change,PASS,hybrid:or,hybrid,or,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;both,
no_change_004,no_change,PASS,hybrid:and,hybrid,and,granite-vision-vlm,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical,
